#          Tracer Boundary Power Station
#
T          Q(2)    TR(2,1)
s          m       deg C
1044000    50.00         39
1045800    50.00         39
1047600    50.00         39
1049400    50.00         39
1051200    50.00         39
1053000    50.00         39
1054800    50.00         39
1056600    50.00         39
1058400    50.00         39
1060200    50.00         39
1062000    50.00         39
1063800    50.00         39
1065600    50.00         39
1067400    50.00         39
1069200    50.00         39
1071000    50.00         39
1072800    50.00         39
1074600    50.00         39
1076400    50.00         39
1078200    50.00         39
1080000    50.00         39
1081800    50.00         39
1083600    50.00         39
1085400    50.00         39
1087200    50.00         39
1089000    50.00         39
1090800    50.00         39
1092600    50.00         39
1094400    50.00         39
1096200    50.00         39
1098000    50.00         39
1099800    50.00         39
1101600    50.00         39
1103400    50.00         39
1105200    50.00         39
1107000    50.00         39
1108800    50.00         39
1110600    50.00         39
1112400    50.00         39
1114200    50.00         39
1116000    50.00         39
1117800    50.00         39
1119600    50.00         39
1121400    50.00         39
1123200    50.00         39
1125000    50.00         39
1126800    50.00         39
1128600    50.00         39
1130400    50.00         39
1132200    50.00         39
1134000    50.00         39
1135800    50.00         39
1137600    50.00         39
1139400    50.00         39
1141200    50.00         39
1143000    50.00         39
1144800    50.00         39
1146600    50.00         39
1148400    50.00         39
1150200    50.00         39
1152000    50.00         39
1153800    50.00         39
1155600    50.00         39
1157400    50.00         39
1159200    50.00         39
1161000    50.00         39
1162800    50.00         39
1164600    50.00         39
1166400    50.00         39
1168200    50.00         39
1170000    50.00         39
1171800    50.00         39
1173600    50.00         39
1175400    50.00         39
1177200    50.00         39
1179000    50.00         39
1180800    50.00         39
1182600    50.00         39
1184400    50.00         39
1186200    50.00         39
1188000    50.00         39
1189800    50.00         39
1191600    50.00         39
1193400    50.00         39
1195200    50.00         39
1197000    50.00         39
1198800    50.00         39
1200600    50.00         39
1202400    50.00         39
1204200    50.00         39
1206000    50.00         39
1207800    50.00         39
1209600    50.00         39
1211400    50.00         39
1213200    50.00         39
1215000    50.00         39
1216800    50.00         39
1218600    50.00         39
1220400    50.00         39
1222200    50.00         39
1224000    50.00         39
1225800    50.00         39
1227600    50.00         39
1229400    50.00         39
1231200    50.00         39
1233000    50.00         39
1234800    50.00         39
1236600    50.00         39
1238400    50.00         39
1240200    50.00         39
1242000    50.00         39
1243800    50.00         39
1245600    50.00         39
1247400    50.00         39
1249200    50.00         39
1251000    50.00         39
1252800    50.00         39
1254600    50.00         39
1256400    50.00         39
1258200    50.00         39
1260000    50.00         39
1261800    50.00         39
1263600    50.00         39
1265400    50.00         39
1267200    50.00         39
1269000    50.00         39
1270800    50.00         39
1272600    50.00         39
1274400    50.00         39
1276200    50.00         39
1278000    50.00         39
1279800    50.00         39
1281600    50.00         39
1283400    50.00         39
1285200    50.00         39
1287000    50.00         39
1288800    50.00         39
1290600    50.00         39
1292400    50.00         39
1294200    50.00         39
1296000    50.00         39
1297800    50.00         39
1299600    50.00         39
1301400    50.00         39
1303200    50.00         39
1305000    50.00         39
1306800    50.00         39
1308600    50.00         39
1310400    50.00         39
1312200    50.00         39
1314000    50.00         39
1315800    50.00         39
1317600    50.00         39
1319400    50.00         39
1321200    50.00         39
1323000    50.00         39
1324800    50.00         39
1326600    50.00         39
1328400    50.00         39
1330200    50.00         39
1332000    50.00         39
1333800    50.00         39
1335600    50.00         39
1337400    50.00         39
1339200    50.00         39
1341000    50.00         39
1342800    50.00         39
1344600    50.00         39
1346400    50.00         39
1348200    50.00         39
1350000    50.00         39
1351800    50.00         39
1353600    50.00         39
1355400    50.00         39
1357200    50.00         39
1359000    50.00         39
1360800    50.00         39
1362600    50.00         39
1364400    50.00         39
1366200    50.00         39
1368000    50.00         39
1369800    50.00         39
1371600    50.00         39
1373400    50.00         39
1375200    50.00         39
1377000    50.00         39
1378800    50.00         39
1380600    50.00         39
1382400    50.00         39
1384200    50.00         39
1386000    50.00         39
1387800    50.00         39
1389600    50.00         39
1391400    50.00         39
1393200    50.00         39
1395000    50.00         39
1396800    50.00         39
1398600    50.00         39
1400400    50.00         39
1402200    50.00         39
1404000    50.00         39
1405800    50.00         39
1407600    50.00         39
1409400    50.00         39
1411200    50.00         39
1413000    50.00         39
1414800    50.00         39
1416600    50.00         39
1418400    50.00         39
1420200    50.00         39
1422000    50.00         39
1423800    50.00         39
1425600    50.00         39
1427400    50.00         39
1429200    50.00         39
1431000    50.00         39
1432800    50.00         39
1434600    50.00         39
1436400    50.00         39
1438200    50.00         39
1440000    50.00         39
1441800    50.00         39
1443600    50.00         39
1445400    50.00         39
1447200    50.00         39
1449000    50.00         39
1450800    50.00         39
1452600    50.00         39
1454400    50.00         39
1456200    50.00         39
1458000    50.00         39
1459800    50.00         39
1461600    50.00         39
1463400    50.00         39
1465200    50.00         39
1467000    50.00         39
1468800    50.00         39
1470600    50.00         39
1472400    50.00         39
1474200    50.00         39
1476000    50.00         39
1477800    50.00         39
1479600    50.00         39
1481400    50.00         39
1483200    50.00         39
1485000    50.00         39
1486800    50.00         39
1488600    50.00         39
1490400    50.00         39
1492200    50.00         39
1494000    50.00         39
1495800    50.00         39
1497600    50.00         39
1499400    50.00         39
1501200    50.00         39
1503000    50.00         39
1504800    50.00         39
1506600    50.00         39
1508400    50.00         39
1510200    50.00         39
1512000    50.00         39
1513800    50.00         39
1515600    50.00         39
1517400    50.00         39
1519200    50.00         39
1521000    50.00         39
1522800    50.00         39
1524600    50.00         39
1526400    50.00         39
1528200    50.00         39
1530000    50.00         39
1531800    50.00         39
1533600    50.00         39
1535400    50.00         39
1537200    50.00         39
1539000    50.00         39
1540800    50.00         39
1542600    50.00         39
1544400    50.00         39
1546200    50.00         39
1548000    50.00         39
1549800    50.00         39
1551600    50.00         39
1553400    50.00         39
1555200    50.00         39
1557000    50.00         39
1558800    50.00         39
1560600    50.00         39
1562400    50.00         39
1564200    50.00         39
1566000    50.00         39
1567800    50.00         39
1569600    50.00         39
1571400    50.00         39
1573200    50.00         39
1575000    50.00         39
1576800    50.00         39
1578600    50.00         39
1580400    50.00         39
1582200    50.00         39
1584000    50.00         39
1585800    50.00         39
1587600    50.00         39
1589400    50.00         39
1591200    50.00         39
1593000    50.00         39
1594800    50.00         39
1596600    50.00         39
1598400    50.00         39
1600200    50.00         39
1602000    50.00         39
1603800    50.00         39
1605600    50.00         39
1607400    50.00         39
1609200    50.00         39
1611000    50.00         39
1612800    50.00         39
1614600    50.00         39
1616400    50.00         39
1618200    50.00         39
1620000    50.00         39
1621800    50.00         39
1623600    50.00         39
1625400    50.00         39
1627200    50.00         39
1629000    50.00         39
1630800    50.00         39
1632600    50.00         39
1634400    50.00         39
1636200    50.00         39
1638000    50.00         39
1639800    50.00         39
1641600    50.00         39
1643400    50.00         39
1645200    50.00         39
1647000    50.00         39
1648800    50.00         39
1650600    50.00         39
1652400    50.00         39
1654200    50.00         39
1656000    50.00         39
1657800    50.00         39
1659600    50.00         39
1661400    50.00         39
1663200    50.00         39
1665000    50.00         39
1666800    50.00         39
1668600    50.00         39
1670400    50.00         39
1672200    50.00         39
1674000    50.00         39
1675800    50.00         39
1677600    50.00         39
1679400    50.00         39
1681200    50.00         39
1683000    50.00         39
1684800    50.00         39
1686600    50.00         39
1688400    50.00         39
1690200    50.00         39
1692000    50.00         39
1693800    50.00         39
1695600    50.00         39
1697400    50.00         39
1699200    50.00         39
1701000    50.00         39
1702800    50.00         39
1704600    50.00         39
1706400    50.00         39
1708200    50.00         39
1710000    50.00         39
1711800    50.00         39
1713600    50.00         39
1715400    50.00         39
1717200    50.00         39
1719000    50.00         39
1720800    50.00         39
1722600    50.00         39
1724400    50.00         39
1726200    50.00         39
1728000    50.00         39
1729800    50.00         39
1731600    50.00         39
1733400    50.00         39
1735200    50.00         39
1737000    50.00         39
1738800    50.00         39
1740600    50.00         39
1742400    50.00         39
1744200    50.00         39
1746000    50.00         39
1747800    50.00         39
1749600    50.00         39
1751400    50.00         39
1753200    50.00         39
1755000    50.00         39
1756800    50.00         39
1758600    50.00         39
1760400    50.00         39
1762200    50.00         39
1764000    50.00         39
1765800    50.00         39
1767600    50.00         39
1769400    50.00         39
1771200    50.00         39
1773000    50.00         39
1774800    50.00         39
1776600    50.00         39
1778400    50.00         39
1780200    50.00         39
1782000    50.00         39
1783800    50.00         39
1785600    50.00         39
1787400    50.00         39
1789200    50.00         39
1791000    50.00         39
1792800    50.00         39
1794600    50.00         39
1796400    50.00         39
1798200    50.00         39
1800000    50.00         39
1801800    50.00         39
1803600    50.00         39
1805400    50.00         39
1807200    50.00         39
1809000    50.00         39
1810800    50.00         39
1812600    50.00         39
1814400    50.00         39
1816200    50.00         39
1818000    50.00         39
1819800    50.00         39
1821600    50.00         39
1823400    50.00         39
1825200    50.00         39
1827000    50.00         39
1828800    50.00         39
1830600    50.00         39
1832400    50.00         39
1834200    50.00         39
1836000    50.00         39
1837800    50.00         39
1839600    50.00         39
1841400    50.00         39
1843200    50.00         39
1845000    50.00         39
1846800    50.00         39
1848600    50.00         39
1850400    50.00         39
1852200    50.00         39
1854000    50.00         39
1855800    50.00         39
1857600    50.00         39
1859400    50.00         39
1861200    50.00         39
1863000    50.00         39
1864800    50.00         39
1866600    50.00         39
1868400    50.00         39
1870200    50.00         39
1872000    50.00         39
1873800    50.00         39
1875600    50.00         39
1877400    50.00         39
1879200    50.00         39
1881000    50.00         39
1882800    50.00         39
1884600    50.00         39
1886400    50.00         39
1888200    50.00         39
1890000    50.00         39
1891800    50.00         39
1893600    50.00         39
1895400    50.00         39
1897200    50.00         39
1899000    50.00         39
1900800    50.00         39
1902600    50.00         39
1904400    50.00         39
1906200    50.00         39
1908000    50.00         39
1909800    50.00         39
1911600    50.00         39
1913400    50.00         39
1915200    50.00         39
1917000    50.00         39
1918800    50.00         39
1920600    50.00         39
1922400    50.00         39
1924200    50.00         39
1926000    50.00         39
1927800    50.00         39
1929600    50.00         39
1931400    50.00         39
1933200    50.00         39
1935000    50.00         39
1936800    50.00         39
1938600    50.00         39
1940400    50.00         39
1942200    50.00         39
1944000    50.00         39
1945800    50.00         39
1947600    50.00         39
1949400    50.00         39
1951200    50.00         39
1953000    50.00         39
1954800    50.00         39
1956600    50.00         39
1958400    50.00         39
1960200    50.00         39
1962000    50.00         39
1963800    50.00         39
1965600    50.00         39
1967400    50.00         39
1969200    50.00         39
1971000    50.00         39
1972800    50.00         39
1974600    50.00         39
1976400    50.00         39
1978200    50.00         39
1980000    50.00         39
1981800    50.00         39
1983600    50.00         39
1985400    50.00         39
1987200    50.00         39
1989000    50.00         39
1990800    50.00         39
1992600    50.00         39
1994400    50.00         39
1996200    50.00         39
1998000    50.00         39
1999800    50.00         39
2001600    50.00         39
2003400    50.00         39
2005200    50.00         39
2007000    50.00         39
2008800    50.00         39
2010600    50.00         39
2012400    50.00         39
2014200    50.00         39
2016000    50.00         39
2017800    50.00         39
2019600    50.00         39
2021400    50.00         39
2023200    50.00         39
2025000    50.00         39
2026800    50.00         39
2028600    50.00         39
2030400    50.00         39
2032200    50.00         39
2034000    50.00         39
2035800    50.00         39
2037600    50.00         39
2039400    50.00         39
2041200    50.00         39
2043000    50.00         39
2044800    50.00         39
2046600    50.00         39
2048400    50.00         39
2050200    50.00         39
2052000    50.00         39
2053800    50.00         39
2055600    50.00         39
2057400    50.00         39
2059200    50.00         39
2061000    50.00         39
2062800    50.00         39
2064600    50.00         39
2066400    50.00         39
2068200    50.00         39
2070000    50.00         39
2071800    50.00         39
2073600    50.00         39
2075400    50.00         39
2077200    50.00         39
2079000    50.00         39
2080800    50.00         39
2082600    50.00         39
2084400    50.00         39
2086200    50.00         39
2088000    50.00         39
2089800    50.00         39
2091600    50.00         39
2093400    50.00         39
2095200    50.00         39
2097000    50.00         39
2098800    50.00         39
2100600    50.00         39
2102400    50.00         39
2104200    50.00         39
2106000    50.00         39
2107800    50.00         39
2109600    50.00         39
2111400    50.00         39
2113200    50.00         39
2115000    50.00         39
2116800    50.00         39
2118600    50.00         39
2120400    50.00         39
2122200    50.00         39
2124000    50.00         39
2125800    50.00         39
2127600    50.00         39
2129400    50.00         39
2131200    50.00         39
2133000    50.00         39
2134800    50.00         39
2136600    50.00         39
2138400    50.00         39
2140200    50.00         39
2142000    50.00         39
2143800    50.00         39
2145600    50.00         39
2147400    50.00         39
2149200    50.00         39
2151000    50.00         39
2152800    50.00         39
2154600    50.00         39
2156400    50.00         39
2158200    50.00         39
2160000    50.00         39
2161800    50.00         39
2163600    50.00         39
2165400    50.00         39
2167200    50.00         39
2169000    50.00         39
2170800    50.00         39
2172600    50.00         39
2174400    50.00         39
2176200    50.00         39
2178000    50.00         39
2179800    50.00         39
2181600    50.00         39
2183400    50.00         39
2185200    50.00         39
2187000    50.00         39
2188800    50.00         39
2190600    50.00         39
2192400    50.00         39
2194200    50.00         39
2196000    50.00         39
2197800    50.00         39
2199600    50.00         39
2201400    50.00         39
2203200    50.00         39
2205000    50.00         39
2206800    50.00         39
2208600    50.00         39
2210400    50.00         39
2212200    50.00         39
2214000    50.00         39
2215800    50.00         39
2217600    50.00         39
2219400    50.00         39
2221200    50.00         39
2223000    50.00         39
2224800    50.00         39
2226600    50.00         39
2228400    50.00         39
2230200    50.00         39
2232000    50.00         39
2233800    50.00         39
2235600    50.00         39
2237400    50.00         39
2239200    50.00         39
2241000    50.00         39
2242800    50.00         39
2244600    50.00         39
2246400    50.00         39
2248200    50.00         39
2250000    50.00         39
2251800    50.00         39
2253600    50.00         39
2255400    50.00         39
2257200    50.00         39
2259000    50.00         39
2260800    50.00         39
2262600    50.00         39
2264400    50.00         39
2266200    50.00         39
2268000    50.00         39
2269800    50.00         39
2271600    50.00         39
2273400    50.00         39
2275200    50.00         39
2277000    50.00         39
2278800    50.00         39
2280600    50.00         39
2282400    50.00         39
2284200    50.00         39
2286000    50.00         39
2287800    50.00         39
2289600    50.00         39
2291400    50.00         39
2293200    50.00         39
2295000    50.00         39
2296800    50.00         39
2298600    50.00         39
2300400    50.00         39
2302200    50.00         39
2304000    50.00         39
2305800    50.00         39
2307600    50.00         39
2309400    50.00         39
2311200    50.00         39
2313000    50.00         39
2314800    50.00         39
2316600    50.00         39
2318400    50.00         39
2320200    50.00         39
2322000    50.00         39
2323800    50.00         39
2325600    50.00         39
2327400    50.00         39
2329200    50.00         39
2331000    50.00         39
2332800    50.00         39
2334600    50.00         39
2336400    50.00         39
2338200    50.00         39
2340000    50.00         39
2341800    50.00         39
2343600    50.00         39
2345400    50.00         39
2347200    50.00         39
2349000    50.00         39
2350800    50.00         39
2352600    50.00         39
2354400    50.00         39
2356200    50.00         39
2358000    50.00         39
2359800    50.00         39
2361600    50.00         39
2363400    50.00         39
2365200    50.00         39
2367000    50.00         39
2368800    50.00         39
2370600    50.00         39
2372400    50.00         39
2374200    50.00         39
2376000    50.00         39
2377800    50.00         39
2379600    50.00         39
2381400    50.00         39
2383200    50.00         39
2385000    50.00         39
2386800    50.00         39
2388600    50.00         39
2390400    50.00         39
2392200    50.00         39
2394000    50.00         39
2395800    50.00         39
2397600    50.00         39
2399400    50.00         39
2401200    50.00         39
2403000    50.00         39
2404800    50.00         39
2406600    50.00         39
2408400    50.00         39
2410200    50.00         39
2412000    50.00         39
2413800    50.00         39
2415600    50.00         39
2417400    50.00         39
2419200    50.00         39
2421000    50.00         39
2422800    50.00         39
2424600    50.00         39
2426400    50.00         39
2428200    50.00         39
2430000    50.00         39
2431800    50.00         39
2433600    50.00         39
2435400    50.00         39
2437200    50.00         39
2439000    50.00         39
2440800    50.00         39
2442600    50.00         39
2444400    50.00         39
2446200    50.00         39
2448000    50.00         39
2449800    50.00         39
2451600    50.00         39
2453400    50.00         39
2455200    50.00         39
2457000    50.00         39
2458800    50.00         39
2460600    50.00         39
2462400    50.00         39
2464200    50.00         39
2466000    50.00         39
2467800    50.00         39
2469600    50.00         39
2471400    50.00         39
2473200    50.00         39
2475000    50.00         39
2476800    50.00         39
2478600    50.00         39
2480400    50.00         39
2482200    50.00         39
2484000    50.00         39
2485800    50.00         39
2487600    50.00         39
2489400    50.00         39
2491200    50.00         39
2493000    50.00         39
2494800    50.00         39
2496600    50.00         39
2498400    50.00         39
2500200    50.00         39
2502000    50.00         39
2503800    50.00         39
2505600    50.00         39
2507400    50.00         39
2509200    50.00         39
2511000    50.00         39
2512800    50.00         39
2514600    50.00         39
2516400    50.00         39
2518200    50.00         39
2520000    50.00         39
2521800    50.00         39
2523600    50.00         39
2525400    50.00         39
2527200    50.00         39
2529000    50.00         39
2530800    50.00         39
2532600    50.00         39
2534400    50.00         39
2536200    50.00         39
2538000    50.00         39
2539800    50.00         39
2541600    50.00         39
2543400    50.00         39
2545200    50.00         39
2547000    50.00         39
2548800    50.00         39
2550600    50.00         39
2552400    50.00         39
2554200    50.00         39
2556000    50.00         39
2557800    50.00         39
2559600    50.00         39
2561400    50.00         39
2563200    50.00         39
2565000    50.00         39
2566800    50.00         39
2568600    50.00         39
2570400    50.00         39
