#																				
#	Time	dependensources	ate	Rivers	and															
#	Q1	is	river	Fal;	Q2	is	river	tressiliQ3	is	the	Truro;	Q4	is	the	STW					
T	Q(1)	TR(1,1)	TR(1,2)	TR(1,3)	Q(2)	TR(2,1)	TR(2,2)	TR(2,3)	Q(3)	TR(3,1)	TR(3,2)	TR(3,3)	Q(4)	TR(4,1)	TR(4,2)	TR(4,3)	Q(5)	TR(5,1)	TR(5,2)	TR(5,3)
s	m3/s	C	PSU	CFU100mL	m3/s	C	PSU	CFU100mLm3/s	m3/s	C	PSU	CFU100mLm3/s	m3/s	C	PSU	CFU100mL	m3/s	C	PSU	CFU100mL
320400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
324000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
327600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
331200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
334800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
338400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
342000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
345600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
349200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
352800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
356400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
360000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
363600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
367200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
370800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
374400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
378000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
381600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
385200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
388800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
392400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
396000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
399600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
403200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
406800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
410400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
414000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
417600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
421200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
424800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
428400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
432000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
435600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
439200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
442800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
446400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
450000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
453600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
457200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
460800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
464400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
468000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
471600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
475200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
478800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
482400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
486000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
489600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
493200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
496800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
500400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
504000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
507600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
511200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
514800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
518400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
522000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
525600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
529200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
532800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
536400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
540000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
543600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
547200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
550800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
554400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
558000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
561600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
565200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
568800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
572400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
576000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
579600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
583200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
586800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
590400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
594000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
597600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
601200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
604800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
608400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
612000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
615600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100	0.3	8.5	1	0
